callsign,tipo_movimento,is_scheduled,destinazione_finale,compagnia_aerea,modello_aereo,orario_schedulato,timestamp,pista,fase_volo,direzione,quota_ft,rotta_deg,distanza_km,paese,matched_score
RYR90WG,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:55:21,N/D,Sorvolo,N/D,2202,105.57,18.69,Ireland,0
RYR90WG,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:56:48,N/D,Transito,N/D,1767,39.08,25.71,Ireland,0
RYR90WG,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:57:22,N/D,Transito,N/D,1638,358.88,24.77,Ireland,0
RYR90WG,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:58:49,N/D,Sorvolo,N/D,1181,312.3,19.88,Ireland,0
RYR90WG,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:59:23,N/D,Sorvolo,N/D,1028,285.73,17.04,Ireland,0
RYR5GG,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 02:00:51,N/D,Transito,N/D,1798,357.47,26.38,Ireland,0
RYR90WG,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 02:00:51,RWY 28,Avvicinamento,Est -> Ovest,563,284.85,8.26,Ireland,0
RYR5GG,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 02:01:25,N/D,Transito,N/D,1584,358.94,24.15,Ireland,0
RYR90WG,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 02:01:25,RWY 28,Avvicinamento,Est -> Ovest,434,284.7,5.72,Ireland,0
RYR5GG,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 02:02:52,N/D,Sorvolo,N/D,1120,288.24,18.74,Ireland,0
RYR90WG,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 02:02:52,RWY 28,Atterraggio,Est -> Ovest,228,284.6,1.91,Ireland,0
RYR56HH,Cargo/Non Schedulato,False,Malta,Ryanair,Boeing 737-800,,2026-09-11 02:02:52,N/D,Sorvolo,N/D,6004,67.7,15.49,Malta,0
RYR5GG,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 02:03:26,N/D,Sorvolo,N/D,952,284.97,15.75,Ireland,0
RYR90WG,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 02:03:26,RWY 28,Atterraggio,Est -> Ovest,228,284.6,1.91,Ireland,0
RYR56HH,Cargo/Non Schedulato,False,Malta,Ryanair,Boeing 737-800,,2026-09-11 02:03:26,N/D,Sorvolo,N/D,6316,67.79,10.02,Malta,0
RYR5GG,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 02:04:53,RWY 28,Avvicinamento,Est -> Ovest,525,285.4,7.56,Ireland,0
RYR90WG,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 02:04:53,RWY 28,Atterraggio,Est -> Ovest,228,284.6,1.91,Ireland,0
